Untitled spreadsheet - Sheet1
Agency,Description,Uploaded on,Saved
COMMODITY FUTURES TRADING COMMISSION,RENEW WEST PRINT SUBSCRIPTI...,2/11/2025,$0.00
COMMODITY FUTURES TRADING COMMISSION,ANNUAL SUBSCRIPTION TO POLI...,2/13/2025,"$60,373.00"
CONSUMER FINANCIAL PROTECTION BUREAU,BLOOMBERG TERMINALS,2/11/2025,"$148,350.00"
CONSUMER FINANCIAL PROTECTION BUREAU,BLOOMBERG GOVERNMENT SUBSCR...,2/11/2025,"$584,172.00"
CONSUMER FINANCIAL PROTECTION BUREAU,POLITICO PRO,2/11/2025,"$522,660.00"
CONSUMER FINANCIAL PROTECTION BUREAU,WASHINGTON POST SUBSCRIPTION,2/11/2025,"$103,398.00"
CONSUMER FINANCIAL PROTECTION BUREAU,WALL STREET JOURNAL SBSCRIP...,2/11/2025,"$176,665.00"
CONSUMER FINANCIAL PROTECTION BUREAU,PROCURE CQ ROLL CALL SUBSCR...,2/11/2025,$0.00
CONSUMER FINANCIAL PROTECTION BUREAU,SEE FPDS,2/11/2025,SEE FPDS
CONSUMER FINANCIAL PROTECTION BUREAU,OMWI TRAINING SUPPORT - DE...,1/29/2025,"$9,999,999.00"
CONSUMER FINANCIAL PROTECTION BUREAU,OMWI TRAINING SUPPORT - PSY...,1/29/2025,"$9,999,999.00"
COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY,SEE FPDS,2/11/2025,SEE FPDS
DEPARTMENT OF AGRICULTURE,"DIVERSITY, EQUITY, INCLUSIO...",1/22/2025,"$25,000,000.00"
DEPARTMENT OF AGRICULTURE,TO SUPPORT THE IMPLEMENTATI...,1/22/2025,"$920,259.00"
DEPARTMENT OF AGRICULTURE,"DIVERSITY, EQUITY, INCLUSIO...",1/22/2025,"$25,000,000.00"
DEPARTMENT OF AGRICULTURE,"DIVERSITY, EQUITY, INCLUSIO...",1/22/2025,"$25,000,000.00"
DEPARTMENT OF AGRICULTURE,"SNAP DIVERSITY, EQUITY, INC...",1/28/2025,"$121,771.00"
DEPARTMENT OF AGRICULTURE,THE OBJECTIVE OF THIS BLANK...,1/30/2025,"$7,500,000.00"
DEPARTMENT OF AGRICULTURE,"DIVERSITY, EQUITY, INCLUSIO...",1/30/2025,"$25,000,000.00"
DEPARTMENT OF AGRICULTURE,IP VALUES AND DEIAR COURSE ...,1/31/2025,$0.00
DEPARTMENT OF AGRICULTURE,WEPO EQUITY/ENVIRONMENTAL J...,1/31/2025,$0.00
DEPARTMENT OF AGRICULTURE,USDA COMMUNICATIONS CAMPAIG...,2/4/2025,$0.00
DEPARTMENT OF AGRICULTURE,LAC GENDER EQUITY FACILITATOR,2/6/2025,$0.00
DEPARTMENT OF AGRICULTURE,SOUTH ASIA CLIMATE CHANGE M...,2/6/2025,$0.00
DEPARTMENT OF AGRICULTURE,E&E NEWS SERVICE RENEWAL FE...,2/6/2025,"$343,605.00"
DEPARTMENT OF AGRICULTURE,"USDA, OC, POLITICO PLUS SU...",2/6/2025,"$297,000.00"
DEPARTMENT OF AGRICULTURE,POLITICO PRO PLUS PLAN INCL...,2/6/2025,"$132,600.00"
DEPARTMENT OF AGRICULTURE,"USDA, OFFICE OF THE GENERAL...",2/6/2025,"$452,450.00"
DEPARTMENT OF AGRICULTURE,THIS IS A PURCHASE ORDER FO...,2/6/2025,$0.00
DEPARTMENT OF AGRICULTURE,E & E NEWS SUITE LICENSES,2/6/2025,"$73,513.00"
DEPARTMENT OF AGRICULTURE,"USDA, OFFICE OF PROPERTY AN...",2/6/2025,$0.00
DEPARTMENT OF AGRICULTURE,"USDA, OFFICE OF THE SECRETA...",2/6/2025,$0.00
DEPARTMENT OF AGRICULTURE,INTERCULTURAL COMMUNICATION...,2/7/2025,$0.00
DEPARTMENT OF AGRICULTURE,DEIA CONSULTING SERVICES TO...,2/7/2025,$0.00
DEPARTMENT OF AGRICULTURE,DIVERSITYCOMM ADVERTISING,2/7/2025,"$500,000.00"
DEPARTMENT OF AGRICULTURE,DIVERSITYCOMM ADVERTISING,2/7/2025,$0.00
DEPARTMENT OF AGRICULTURE,TO PROCURE E&E NEWS SUBSCRI...,2/7/2025,"$52,066.00"
DEPARTMENT OF AGRICULTURE,POLITICOPRO SUBSCRIPTION FO...,2/7/2025,"$71,790.00"
DEPARTMENT OF AGRICULTURE,POLITICOPRO ANNUAL SUBSCRIP...,2/7/2025,"$81,000.00"
DEPARTMENT OF AGRICULTURE,POLITICO PRO PLUS FOR 4 USE...,2/7/2025,$0.00
DEPARTMENT OF AGRICULTURE,POLITICO PRO PLUS RENEWAL F...,2/7/2025,$0.00
DEPARTMENT OF AGRICULTURE,ANNUAL SUBSCRIPTION TO POLI...,2/7/2025,$0.00
DEPARTMENT OF AGRICULTURE,POLITICO PRO PLUS AS QUOTED...,2/7/2025,"$59,360.00"
DEPARTMENT OF AGRICULTURE,EEO SUPPORT SERVICES EIGHTE...,2/10/2025,"$1,418,115.00"
DEPARTMENT OF AGRICULTURE,SNAP CHANGE MANAGEMENT,2/10/2025,"$115,384.00"
DEPARTMENT OF AGRICULTURE,BLANKET PURCHASE AGREEMENT ...,2/10/2025,"$4,000,000.00"
DEPARTMENT OF AGRICULTURE,URBAN FOREST AND COMMUNITY ...,2/10/2025,$0.00
DEPARTMENT OF AGRICULTURE,BRAZIL FOREST AND GENDER CO...,2/10/2025,$0.00
DEPARTMENT OF AGRICULTURE,2025 GETTYSBURG STAFF RIDE ...,2/10/2025,$0.00
DEPARTMENT OF AGRICULTURE,LATIN AMERICA URBAN ECOLOGY...,2/10/2025,$0.00
DEPARTMENT OF AGRICULTURE,PROGRAM EVALUATION AND BASE...,2/10/2025,$0.00
DEPARTMENT OF AGRICULTURE,"WORKPLACE ENVIRONMENT, KNOW...",2/10/2025,$0.00
DEPARTMENT OF AGRICULTURE,NIFA SMALL BUSINESS INNOVAT...,2/10/2025,$0.00
DEPARTMENT OF AGRICULTURE,ENVIRONMENTAL REGULATION CO...,2/10/2025,$0.00
DEPARTMENT OF AGRICULTURE,SILVACARBON WOMEN IN FOREST...,2/10/2025,$0.00
DEPARTMENT OF AGRICULTURE,ASIA PACIFIC - SOLOMON ISLA...,2/10/2025,$0.00
DEPARTMENT OF AGRICULTURE,FOREST SERVICE OVERSEAS ENV...,2/10/2025,$0.00
DEPARTMENT OF AGRICULTURE,REGIONAL GENDER AND GABON P...,2/10/2025,$0.00
DEPARTMENT OF AGRICULTURE,EL SALVADOR AND HONDURAS GE...,2/10/2025,$0.00
DEPARTMENT OF AGRICULTURE,BRAZIL WILDFIRE MANAGEMENT ...,2/10/2025,$0.00
DEPARTMENT OF AGRICULTURE,SERVICE STRATEGY PLANNING A...,2/12/2025,"$17,857,033.00"
DEPARTMENT OF AGRICULTURE,DEVELOP AND DEPLOY A NEW CU...,2/12/2025,"$4,854,019.00"
DEPARTMENT OF AGRICULTURE,HANDSHAKE SOFTWARE SUITE WI...,2/12/2025,"$3,150,558.00"
DEPARTMENT OF AGRICULTURE,HRES NATIONAL HIRING,2/12/2025,"$2,841,896.00"
DEPARTMENT OF AGRICULTURE,THE NRCS OPERATIONAL EXCELL...,2/12/2025,"$1,666,173.00"
DEPARTMENT OF AGRICULTURE,"360 ASSESSMENT TOOL, ANALYS...",2/12/2025,"$1,587,767.00"
DEPARTMENT OF AGRICULTURE,WEPO TRAINING AND EMPLOYEE ...,2/12/2025,"$991,950.00"
DEPARTMENT OF AGRICULTURE,LEADERSHIP DEVELOPMENT PROG...,2/12/2025,"$159,759.00"
DEPARTMENT OF AGRICULTURE,THE UNITED STATES DEPARTMEN...,2/12/2025,"$123,542.00"
DEPARTMENT OF AGRICULTURE,"MEDIA DEVELOPMENT, PRODUCTI...",2/12/2025,"$90,000.00"
DEPARTMENT OF AGRICULTURE,MARKETING COMMUNICATION SER...,2/12/2025,"$80,000.00"
DEPARTMENT OF AGRICULTURE,NON-MONETARY AWARDS,2/12/2025,"$350,000.00"
DEPARTMENT OF AGRICULTURE,ENVIRONMENTAL COMPLIANCE SE...,2/14/2025,$0.00
